pal1,pal2,pal3,pal4,pal5,hex_destacado
#FDFFFE,#1F0D0D,#DEC3B8,#653741,#7A8587,#653741
#F7FAFF,#1E110B,#432F2E,#C98C5D,#C57B54,#C57B54
#FFFFFF,#000000,#404450,#65616F,#907C64,#404450
#FFFFFF,#6B5561,#7F6862,#000000,#BDABA9,#6B5561
#020202,#211D1A,#503C31,#F3EBDE,#9F6B43,#503C31
#FBFAFF,#B59E6C,#B09D5B,#010302,#7D7777,#B09D5B
#FFFFFF,#211715,#423733,#959597,#765B4A,#959597
#0C0B11,#43221B,#7E4C1B,#F7F6FC,#DDB965,#DDB965
#FFFFFF,#1E1E1C,#C6C8C3,#54382C,#A5965B,#A5965B
#07080A,#FEFEFE,#312D2E,#606561,#C0C6C6,#606561
#FFFFFF,#2A231D,#3F3830,#725E45,#998D73,#725E45
#FFFFFF,#07070F,#271B1B,#494A4E,#747371,#271B1B
#0D0D15,#EFF0F5,#763F16,#D5371E,#D49836,#D5371E
#FFFFFF,#18161B,#3D3131,#D3321E,#7F625E,#D3321E
#050503,#642B18,#FBFFFF,#6F3921,#996D3E,#642B18
#000000,#38180B,#534F46,#FFF4F8,#9A8276,#38180B
#0C0C0C,#FFFFFF,#56453B,#988D71,#FF936C,#988D71
#000000,#3E3F44,#696574,#FDE0D8,#6E4943,#FDE0D8
#FFFFFF,#FF3727,#0E0405,#BF6F34,#8A6650,#FF3727
#141A28,#664C4F,#674E54,#F5E9D9,#9B7A71,#141A28
#E13E2B,#FFFFFF,#070D25,#706866,#A77747,#E13E2B
#010101,#F0F1F3,#C33C1E,#A13125,#9D8B89,#C33C1E
#FFFFFF,#000000,#C42B01,#B6C7CE,#85674F,#C42B01
#FFFFFF,#392C35,#4D3D47,#924950,#95958B,#924950
#FFFFFF,#030200,#4F454D,#9C6449,#817B7D,#9C6449
#949995,#F5FFFF,#5A0000,#7E8178,#DAB75D,#DAB75D
#FFFFFF,#000000,#643E17,#7F5956,#C2CBB0,#643E17
#F2F2F2,#372221,#803E2E,#8D7873,#C69B6E,#C69B6E
#FFFFFF,#959595,#765227,#431D08,#98764D,#98764D
#404040,#303030,#8F8F8F,#878787,#CACACA,#878787
#352A33,#D2A997,#000000,#FFD3CA,#9D8063,#D2A997
#FFFFFF,#2B0713,#1F5873,#87868B,#656E7D,#1F5873
#FFFFFD,#221C1C,#7A2214,#C37336,#D58C48,#C37336
#0F0E14,#DCCAA2,#2F5C73,#A6A19B,#8A6552,#DCCAA2
#F5EFE3,#010000,#D8C4A9,#B89959,#362B27,#B89959
#010101,#D5D0BD,#C9C4B1,#A49C99,#363731,#A49C99
#F8F1E7,#E7DBCF,#080000,#A63300,#E3AF59,#A63300
#E1D5BB,#C9B495,#010103,#AA926C,#8A6A3B,#AA926C
#F2EEE3,#010101,#DDCEBB,#B3AC9A,#933128,#933128
#FFFFFF,#E3CDB6,#BC0000,#110000,#C3A66E,#BC0000
#F8FBF4,#EFDBC3,#0D0000,#DAAA7A,#4F7544,#4F7544
#FFFFFF,#030F1D,#EBD4CC,#6A7D8C,#454545,#EBD4CC
#FFFFFF,#1A0000,#572819,#FFC873,#6D5B50,#FFC873
#21221C,#9A7E71,#48453F,#D5C2B6,#CBB4A0,#9A7E71
#D0AC96,#B07D62,#AF7C61,#855A4A,#3D211E,#D0AC96
#EEF3ED,#30283D,#765453,#8E6960,#AAA8B5,#EEF3ED
#000100,#FFFFF3,#35391E,#786847,#E0D4A2,#786847
#FFFBF8,#000000,#A78B7F,#9F806B,#60524F,#9F806B
#000000,#7B7634,#9D8F44,#3C362A,#BDC0A1,#7B7634
#FFFFFF,#090F0B,#FF8A19,#3894FF,#6A741D,#FF8A19
#FFFFFF,#1F1F1F,#004F49,#008C83,#79A692,#008C83
#DEDFD7,#8E656B,#393945,#4C4E5A,#D0B5AC,#8E656B
#403232,#382930,#574A53,#54808B,#E9E2CF,#54808B
#6A555E,#69545D,#8A807F,#C7A29C,#976662,#976662
#B8A674,#6A5447,#D0C7C8,#304250,#698D9D,#B8A674
#130E0B,#BEB5AC,#AFA697,#8D8572,#6B5F45,#BEB5AC
#C0C342,#FFFFEC,#000000,#98A144,#504C2F,#C0C342
#C1A4A8,#E7E1ED,#B39597,#000100,#9C6B4B,#C1A4A8
#CCD4E9,#4B3A33,#968494,#9A8898,#6B4F28,#6B4F28
#000000,#281E14,#FFFF8B,#5D4E13,#C1B770,#FFFF8B
#FBF5E5,#2F2A17,#45402D,#D4D0C7,#7E7966,#45402D
#B8C7C9,#1C211F,#D8AF43,#8FB3C3,#7F4045,#8FB3C3
#A99B92,#94837C,#070000,#7B6C65,#25252D,#94837C
#000000,#85550B,#64400A,#975622,#B96A2F,#B96A2F
#FFFEFF,#33444E,#384951,#5E747F,#94A6BE,#5E747F
#000000,#4B351D,#FFBD42,#A54A1B,#B85D26,#A54A1B
#FFDC3A,#271815,#EEA22A,#773C1A,#B27429,#FFDC3A
#DAEEEF,#170E05,#CD7B56,#B4A7AE,#494D50,#DAEEEF
#232323,#434341,#974918,#0656F5,#A77B58,#0656F5
#3C312F,#7C7757,#746F4F,#BFA161,#C5A767,#C5A767
#918D8E,#93A4AC,#5A5954,#6E6F69,#09090B,#93A4AC
#FFFFFF,#968188,#7A7C6E,#A3817A,#536B50,#968188
#BABBB5,#000002,#649DBB,#8E8F89,#4D5629,#649DBB
#3A362B,#8E8F8A,#DABD7B,#D2B675,#67583B,#DABD7B
#667D9C,#9D8557,#636F47,#404B3D,#667846,#667846
#231F16,#403A2A,#7E7963,#837E68,#DFDAC6,#837E68
#BEBAAF,#ADAEA9,#C19F79,#422227,#A66957,#A66957
#7B6E77,#766972,#3A3934,#999087,#AD763D,#7B6E77
#272532,#505044,#8A826D,#C7C19F,#A2A882,#A2A882
#FFFFFF,#C1AAAA,#6C6D78,#0F0300,#C6905C,#C6905C
#FFFFFF,#87A694,#C9C28A,#2A4535,#698A77,#87A694
#FFFFFF,#302F28,#665757,#7D696D,#9D909A,#7D696D
#FFFFFF,#E3A94A,#E2C997,#272E2E,#604646,#E3A94A
#CABDAC,#3C3C3E,#84909C,#C0A465,#67695C,#C0A465
